Company,Product,Cpu,Ram,Gpu,OpSys,Inches,Price,Cpu_brand,Gpu_brand,HDD,SSD,LogPrice
HP,Victus 15-fb0157AX Gaming Laptop,"Hexa Core, 12 Threads",8,4GB AMD Radeon RX 6500M,Windows 11 OS,15.6,49900,"Hexa Core,",4GB,0,512,10.81777628
HP,15s-fq5007TU Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,39900,Hexa Core,Intel,0,512,10.5941316
Acer,One 14 Z8-415 Laptop,"Dual Core, 4 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,14,26990,"Dual Core,",Intel,0,512,10.20322171
Lenovo,Yoga Slim 6 14IAP8 82WU0095IN Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,59729,12 Cores,Intel,0,512,10.99757294
Apple,MacBook Air 2020 MGND3HN Laptop,Octa Core (4P + 4E),8,Apple M1 Integrated Graphics,Mac OS,13.3,69990,Octa Core,Apple,0,256,11.15610765
Acer,Extensa EX214-53 Laptop,"12 Cores (4P + 8E), 16 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,14,39990,12 Cores,Intel,0,512,10.5963847
Dell,Inspiron 3520 D560896WIN9B Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,36790,Hexa Core,Intel,0,512,10.51298135
Acer,Nitro V ANV15-51 2023 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,6GB NVIDIA GeForce RTX 4050,Windows 11 OS,15.6,76990,Octa Core,6GB,0,512,11.25143082
Asus,Vivobook 15 X1502ZA-EJ523WS Laptop,"12 Cores (4P + 8E), 16 Threads",8,Intel Iris Xe,Windows 11 OS,15.6,48990,12 Cores,Intel,0,512,10.79937147
Samsung,Galaxy Book2 Pro 13 Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,13.3,74990,12 Cores,Intel,0,512,11.22511005
Lenovo,V15 G3 IAP 82TTA08AIN Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated UHD,Windows 11 OS,15.6,49990,10 Cores,Intel,0,512,10.81957826
Ultimus,Pro NU14U3INC43BN-CS Laptop,"Dual Core, 2 Threads",4,Intel Integrated UHD Graphics,Windows 11 OS,14.1,10990,"Dual Core,",Intel,0,128,9.304741047
Asus,TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop,"12 Cores (4P + 8E), 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,72990,12 Cores,4GB,0,512,11.19807772
Primebook,4G Android Laptop,Octa Core,4,ARM Mali G72,Android 11 OS,11.6,10990,Octa Core,ARM,0,0,9.304741047
Lenovo,V15 G4 ‎82YU00W7IN Laptop,"Quad Core, 8 Threads",8,AMD Radeon Graphics,Windows 11 OS,15.6,29990,"Quad Core,",AMD,0,512,10.30861927
Asus,TUF Gaming F15 FX506HF-HN024W Gaming Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,53649,"Hexa Core,",4GB,0,512,10.89021811
MSI,Modern 14 C11M-031IN Laptop,"Dual Core, 4 Threads",8,Intel Integrated UHD,Windows 11 OS,14,33990,"Dual Core,",Intel,0,512,10.43382164
Infinix,Zerobook 2023 Laptop,"14 Cores (6P + 8E), 20 Threads",32,Intel Integrated Iris Xe,Windows 11 OS,15.6,79990,14 Cores,Intel,0,1000,11.28965691
HP,Victus 15-fa0666TX Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,68990,Octa Core,4GB,0,512,11.14171685
Lenovo,IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,"Quad Core, 8 Threads",8,4GB NVIDIA GeForce GTX 1650,Windows 11 OS,15.6,45990,"Quad Core,",4GB,0,512,10.73617926
Asus,Vivobook 16X 2022 M1603QA-MB502WS Laptop,"Hexa Core, 12 Threads",8,AMD Radeon Vega 7,Windows 11 OS,16,49900,"Hexa Core,",AMD,0,512,10.81777628
Apple,MacBook Air 2022 Laptop,Octa Core (4P + 4E),8,8-Core GPU,Mac OS,13.6,104990,Octa Core,8-Core,0,256,11.56162039
Acer,Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,54990,Octa Core,4GB,0,512,10.91490663
HP,15s-fq2510tu Laptop,"Quad Core, 8 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,15.6,49580,"Quad Core,",Intel,0,512,10.81134281
Asus,Vivobook 16X 2022 M1603QA-MB711WS Laptop,"Octa Core, 16 Threads",16,AMD Radeon Vega 7,Windows 11 OS,16,55990,"Octa Core,",AMD,0,512,10.93292838
HP,15s-eq2132AU Laptop,"Hexa Core, 12 Threads",16,AMD Radeon AMD,Windows 11 OS,15.6,43990,"Hexa Core,",AMD,0,512,10.69171761
HP,255 G9 840T7PA Laptop,"Dual Core, 2 Threads",4,AMD Integrated,DOS OS,15.6,19850,"Dual Core,",AMD,0,256,9.895959286
Acer,Extensa 15 EX215-33 2023 Laptop,"Octa Core, 8 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,28990,"Octa Core,",Intel,0,512,10.27470622
Acer,Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,"12 Cores (4P + 8E), 16 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,54999,12 Cores,4GB,0,512,10.91507028
Dell,Inspiron 3530 Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel UHD Graphics,Windows 11 OS,15.6,70990,10 Cores,Intel,0,512,11.1702943
Lenovo,IdeaPad Gaming 3 82SB00V2IN Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,56889,"Hexa Core,",4GB,0,512,10.94885728
Acer,Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop,"24 Cores (8P + 16E), 32 Threads",16,8GB NVIDIA GeForce RTX 4070,Windows 11 OS,16,179880,24 Cores,8GB,0,1000,12.10004524
HP,Victus 15-fb0150AX Gaming Laptop,"Hexa Core, 12 Threads",16,4GB AMD Radeon RX 6500M Graphics,Windows 11 OS,15.6,53790,"Hexa Core,",4GB,0,512,10.89284286
Acer,Aspire Lite AL15 Laptop,"Hexa Core, 12 Threads",16,AMD Graphics,Windows 11 OS,15.6,37990,"Hexa Core,",AMD,0,512,10.54507825
Acer,Nitro 5 AN515-58 NH.QFSSI.001 Gaming Laptop,"10 Cores (6P + 4E), 16 Threads",16,8GB NVIDIA GeForce RTX 3070 Ti,Windows 11 OS,15.6,96990,10 Cores,8GB,0,1000,11.48236316
HP,Pavilion 15-eg3081TU Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated Integrated,Windows 11 OS,15.6,71990,12 Cores,Intel,0,512,11.1842825
HP,Victus 16-d0333TX Gaming Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA GeForce GTX 1650,Windows 11 OS,16.1,59990,"Hexa Core,",4GB,0,512,11.00193316
Lenovo,IdeaPad Slim 5 14IAH8 83BF0045IN Laptop,"Octa Core (4P + 4E), 12 Threads",16,Intel Graphics,Windows 11 OS,14,62990,Octa Core,Intel,0,1000,11.05073126
Infinix,INBook X3 Slim XL422 2023 Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel Integrated Iris Xe,Windows 11 OS,14,30990,Hexa Core,Intel,0,512,10.34141985
Lenovo,LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,74990,Octa Core,6GB,0,512,11.22511005
HP,15s-fr2515TU Laptop,"Dual Core, 4 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,36490,"Dual Core,",Intel,0,512,10.50479353
